id,name,facebook_likes
408,Christian Bale,23000
1430,Donna Murphy,553
66,Robert Downey Jr.,21000
502,Daniel Radcliffe,11000
2011,Lauren Cohan,4000
945,Marlon Brando,10000
1245,Ruth Wilson,2000
1590,Christopher Meloni,3000
3674,Pierfrancesco Favino,216
2270,Adam Brown,972
1834,Kate Winslet,14000
1172,Alan Rickman,25000
988,Sophia Myles,956
838,Mila Kunis,15000
994,Paul Walker,23000
1513,Peter Dinklage,22000
3854,Elizabeth Debicki,509
2717,Lester Speight,829
2675,Jack McGraw,150
3756,Melissa Roxburgh,119
245,Colin Firth,14000
2144,Kiran Shah,190
1425,Michael Fassbender,13000
126,Heath Ledger,13000
1608,Jeff Bridges,12000
2019,Brendan Fraser,3000
2730,Lara Pulver,854
3900,Rick Aviles,60
655,Sharlto Copley,2000
3177,Alice Englert,525
953,Cary-Hiroyuki Tagawa,1000
2799,Kathy Griffin,225
2377,Daniel Henney,719
238,Sarah Silverman,931
1035,Tom Hardy,27000
2181,Shin'ya Tsukamoto,106
1061,Philip Seymour Hoffman,22000
3328,Emilia Clarke,10000
1825,Jaime King,961
941,Liam Neeson,14000
2044,Rami Malek,3000
3571,Collin Chou,269
2156,Daniel Bernhardt,198
594,Natalie Portman,20000
153,Ayelet Zurer,745
3080,Piper Mackenzie Harris,607
230,Chlo Grace Moretz,17000
1685,Jeremy Renner,10000
1206,Simon Merrells,490
3917,Noah Ringer,756
539,Tom Cruise,10000
1698,Cara Delevingne,548
4021,Zach Callison,1000
217,Martin Short,770
3349,Kate McKinnon,370
3817,Kamil McFadden,315
1552,Richard Burgi,550
972,Mara Valverde,893
554,Leonard Nimoy,12000
2547,Regi Davis,300
626,Ming-Na Wen,2000
1739,Dominic Cooper,3000
2663,Maria Grazia Cucinotta,536
3873,Lee Ingleby,172
3421,Philip Michael Thomas,321
586,Snoop Dogg,881
2228,Annet Mahendru,411
3655,Matt Jones,523
4014,Constance Marie,442
4087,Rob Brown,370
2740,Seth Gabel,574
3537,Rachel Crow,237
3356,Rachel Ticotin,308
3229,Vladimir Kulich,372
2024,Ioan Gruffudd,2000
2599,Matt Long,701
3017,Riz Ahmed,365
1680,Bernie Mac,1000
