id,name,facebook_likes
1139,Brad Bird,663
741,Don Hall,38
1295,Rich Moore,66
2132,Dean DeBlois,255
1228,Jonathan Mostow,84
516,James Gunn,571
203,Hideaki Anno,28
2312,David Fincher,21000
1753,Matthew Vaughn,905
1317,Francis Lawrence,508
1123,Jon Turteltaub,226
13,Wolfgang Petersen,249
539,James Bobin,33
1987,Chris Miller,50
523,Duncan Jones,0
2238,Alan Taylor,230
25,Michael Apted,150
1365,Oliver Stone,0
2143,Eric Darnell,35
914,Shawn Levy,189
2032,Gavin Hood,151
1047,Chris Buck,69
46,George Miller,750
481,Ron Howard,2000
1419,Kenneth Branagh,0
1574,Byron Howard,59
1169,Hoyt Yeatman,12
429,Jonathan Liebesman,473
1296,Christopher McQuarrie,188
814,Joe Johnston,394
1367,Steve Hickner,58
819,Jennifer Yuh Nelson,90
1361,M. Night Shyamalan,0
173,Simon Wells,25
396,David Bowers,42
667,Joe Wright,456
705,Rob Minkoff,50
1054,Lee Tamahori,93
2147,Paul Feig,176
298,Alessandro Carloni,5
703,Peter Ramsey,52
1875,Dean Parisot,23
1764,Edward Zwick,380
943,Alex Proyas,295
1514,Richard Donner,503
1592,Jon M. Chu,209
2028,Breck Eisner,42
540,Hironobu Sakaguchi,6
1992,Peter Weir,608
772,Bill Condon,386
1717,Louis Leterrier,255
1354,Alejandro G. Irritu,0
1545,David Soren,13
824,Paul Greengrass,521
1924,Mark Osborne,54
158,Peyton Reed,235
1075,Tim Johnson,12
1265,Phillip Noyce,176
1491,Darren Aronofsky,0
731,Alfonso Cuarn,0
519,Gus Van Sant,835
1533,Eric Leighton,0
999,Matt Birch,0
2313,Tom McGrath,96
37,Chris Columbus,0
93,Robert Schwentke,124
332,Carlos Saldanha,107
1473,Guy Ritchie,0
415,Paul Verhoeven,719
2118,John McTiernan,323
1257,Tony Gilroy,209
809,Joel Schumacher,541
549,John Woo,610
1515,Tim Story,167
732,Mark Steven Johnson,160
2123,Neill Blomkamp,662
1516,David Twohy,123
2144,Jos Padilha,294
1626,James L. Brooks,274
182,James Mangold,446
1449,George Lucas,0
808,Kirk De Micco,16
509,Frdric Forestier,0
483,Cedric Nicolas-Troyan,19
1469,Roger Donaldson,79
1568,Dave Green,13
1914,Josh Trank,128
778,Brad Peyton,62
983,Roger Spottiswoode,55
2205,Steven Soderbergh,0
2138,Michel Gondry,1000
684,Noam Murro,263
610,Raja Gosnell,67
12,Will Finn,6
405,Jan de Bont,101
397,Len Wiseman,235
572,Frank Coraci,153
1508,Michael Mann,0
192,Bo Welch,34
1758,Ron Clements,63
1718,Peter Chelsom,23
930,Dominic Sena,57
1026,Frank Oz,0
1492,Tony Scott,12000
1585,Paul Weitz,80
2139,Adam McKay,285
1284,Chuck Russell,55
2289,Quentin Tarantino,16000
578,Gary Trousdale,21
1321,Mark Dindal,10
612,Simon West,165
1434,Stefen Fangmeier,14
953,Spike Jonze,0
2073,Chris Wedge,77
330,Florian Henckel von Donnersmarck,207
773,Peter Hyams,0
27,Tom Tykwer,670
2390,Pitof,26
318,Brad Silberling,52
2244,Patrick Hughes,385
1380,Ericson Core,19
1788,Lawrence Guterman,6
1594,Ron Underwood,31
957,Steve Martino,20
2100,David Mamet,342
214,Yimou Zhang,611
131,Ash Brannon,9
59,Danny DeVito,0
714,Jay Roach,116
474,Luc Besson,0
1101,Michael Patrick King,127
2131,Bibo Bergeron,10
658,Sergey Bodrov,44
23,Wally Pfister,0
1916,Rupert Wyatt,81
1907,Mark Waters,70
1097,John Moore,212
125,John Lee Hancock,102
1479,Renny Harlin,212
1802,Phil Lord,97
2391,Ben Stiller,0
810,Tony Bancroft,7
283,Timur Bekmambetov,335
521,Walt Becker,12
1904,Dennis Dugan,221
702,Sydney Pollack,521
1612,Thor Freudenthal,87
26,Brian De Palma,0
2344,Mick Jackson,81
1229,Alan J. Pakula,79
2346,Kathryn Bigelow,0
391,John Milius,468
884,Andrey Konchalovskiy,96
1076,Gary Ross,378
652,Paul W.S. Anderson,545
1587,Genndy Tartakovsky,266
2174,Kevin Lima,36
868,Daniel Espinosa,79
436,Nancy Meyers,278
1338,Roger Allers,28
817,Neil Burger,168
2194,Jean-Jacques Annaud,218
498,Sarah Smith,6
2038,Martin Brest,102
1154,Andrew Davis,99
1489,Bob Fosse,189
2173,Tarsem Singh,763
683,Edgar Wright,1000
1988,Jon Amiel,36
1267,Peter Segal,88
2367,Pete Travis,38
1678,George A. Romero,0
1206,Sylvester Stallone,13000
1513,Todd Phillips,480
110,Gary Winick,56
2087,Mimi Leder,75
1805,Seth Gordon,91
1127,Adam Shankman,163
186,D.J. Caruso,154
98,Anthony Minghella,333
1865,Albert Hughes,117
631,Les Mayfield,10
1336,Joe Pytka,30
194,Scott Derrickson,301
2082,Ivan Reitman,425
1086,Eric Brevig,40
1980,Kelly Asbury,21
1196,Stephen Hopkins,81
887,Jonathan Demme,438
384,Henry Jaglom,69
954,James Algar,11
1495,Vincent Ward,25
1824,Steven Brill,65
1427,Terry Gilliam,0
1649,Lucile Hadzihalilovic,92
2271,Barry Cook,43
959,Roger Christian,64
1490,Joe Dante,287
995,Kevin Costner,0
1133,Antony Hoffman,14
1393,Jacques Perrin,63
133,Andrs Couturier,0
2186,Cody Cameron,18
2092,John Singleton,309
304,Oliver Hirschbiegel,101
473,Des McAnuff,5
202,Yarrow Cheney,11
727,Stephen Norrington,45
1308,Pierre Coffin,275
779,David Kellogg,16
247,James Schamus,44
2293,Mike Nichols,0
1861,F. Gary Gray,473
1131,Antoine Fuqua,845
96,Robert Luketic,126
387,Gil Kenan,27
559,Barry Levinson,272
1724,Jerry Zucker,109
678,Andy Tennant,72
1950,Florent-Emilio Siri,17
752,Don Bluth,383
1725,Ron Shelton,41
1974,David Pastor,10
544,Henry Selick,253
1963,Kyle Balda,22
624,Clay Kaytis,6
840,Judd Apatow,0
1825,Steve Carr,41
2310,Mel Gibson,0
503,David Silverman,30
1933,Frank Darabont,0
324,Betty Thomas,84
512,Garry Marshall,0
325,Paul Tibbitt,5
935,Clark Johnson,69
1524,Cameron Crowe,488
1546,Randall Wallace,130
607,Jonathan Frakes,906
1457,George Clooney,0
1756,Gary Shore,28
1503,Andrzej Bartkowiak,43
2136,Mns Mrlind,24
986,Gregory Hoblit,40
1358,Gary McKendry,5
2246,Wych Kaosayananda,8
794,Mikael Salomon,13
593,Bobby Farrelly,101
1159,Kerry Conran,14
992,Michael Caton-Jones,105
273,Mikael Hfstrm,101
425,Phil Alden Robinson,31
1368,David Slade,171
924,Joseph Ruben,29
1552,Seth MacFarlane,3000
477,Alejandro Amenbar,448
75,Kinka Usher,18
715,Craig Gillespie,44
1310,Rob Bowman,38
504,Doug Lefler,4
1085,Scott Waugh,76
1953,Lawrence Kasdan,759
686,Michael Lembeck,54
1332,Tom Hooper,0
82,Nora Ephron,0
608,Angelina Jolie Pitt,11000
1828,Clint Eastwood,16000
233,Larry Charles,119
2292,Stanley Kubrick,0
1978,Will Gluck,87
1185,Glenn Ficarra,43
1103,David S. Goyer,687
753,Taylor Hackford,138
869,Michael Lehmann,36
136,Stuart Beattie,72
463,Roman Polanski,2000
1190,Frank Miller,436
1207,Baltasar Kormkur,175
287,Todd Graff,650
1177,Daniel Lee,10
1733,Keenen Ivory Wayans,322
411,Rob Reiner,0
1288,Marco Schnabel,12
2383,Demian Lichtenstein,11
1281,Josh Gordon,8
1390,Tim Hill,25
2371,David Frankel,64
775,Brenda Chapman,59
235,Marc Lawrence,30
723,Peter Billingsley,0
51,Wes Ball,47
263,Ryan Murphy,708
864,Robert Redford,0
2088,Alan Parker,317
1529,Jay Russell,13
1042,Kenny Ortega,197
1831,David McNally,18
1441,Brian Robbins,48
888,Brian Levant,32
1164,Steven Zaillian,234
920,Chris Butler,28
333,Jon Avnet,50
1145,Sam Fell,18
1167,Kevin Donovan,11
264,Geoff Murphy,14
466,Ang Lee,0
1775,David O. Russell,737
1060,Babak Najafi,24
973,Jean-Pierre Jeunet,0
1704,Graham Annable,7
530,Griffin Dunne,165
1254,John Pasquin,11
855,Ruben Fleischer,181
561,Harold Ramis,11000
2055,Kevin Macdonald,162
