movie_id,genre
407,Adventure
407,Comedy
407,Family
3699,Drama
3699,Horror
3699,Mystery
3699,Sci-Fi
3699,Thriller
3016,Drama
2846,Comedy
2846,Drama
2846,Romance
3421,Crime
3421,Drama
3421,Thriller
3645,Comedy
3645,Crime
3645,Drama
2430,Adventure
2430,Biography
2430,Drama
2430,Thriller
4823,Crime
4823,Drama
1737,Adventure
1737,Drama
1737,Mystery
1737,Sci-Fi
1737,Thriller
2282,Action
2282,Crime
2282,Thriller
2175,Biography
2175,Drama
2175,History
1627,Comedy
1627,Fantasy
1627,Romance
971,Action
971,Drama
971,Thriller
971,War
2079,Fantasy
2079,Horror
1169,Action
1169,Crime
1169,Drama
1169,Thriller
1116,Action
1116,Crime
1116,Drama
1116,Thriller
4601,Comedy
4601,Romance
3959,Drama
3959,Family
3959,History
3959,Musical
1222,Comedy
1222,Drama
1222,Family
1222,Fantasy
1222,Romance
1724,Action
1724,Adventure
1724,Drama
1724,History
1724,War
1557,Action
1557,Comedy
1557,War
4653,Drama
3712,Adventure
3712,Drama
3712,Family
3712,Fantasy
3712,Sci-Fi
3080,Adventure
3080,Mystery
3080,Sci-Fi
3613,Comedy
3613,Drama
3613,Romance
61,Action
61,Adventure
61,Sci-Fi
4182,Documentary
2996,Drama
2996,Romance
2996,Sci-Fi
4976,Biography
4976,Comedy
4976,Romance
4563,Documentary
4563,Music
1413,Crime
1413,Drama
1413,Thriller
4017,Horror
4017,Thriller
2261,Drama
1155,Action
1155,Comedy
1155,Crime
2876,Comedy
940,Action
940,Comedy
940,Crime
4303,Comedy
4303,Drama
4303,Romance
4303,Sport
3847,Drama
1608,Comedy
1608,Romance
1149,Comedy
1149,Drama
3364,Drama
3364,Horror
3364,Sci-Fi
3364,Thriller
2657,Drama
2657,Horror
2657,Sci-Fi
516,Action
516,Crime
516,Thriller
723,Action
723,Comedy
723,Crime
723,Drama
723,Thriller
4903,Comedy
4903,Drama
4903,Romance
710,Action
710,Drama
710,Fantasy
710,War
706,Action
706,Comedy
706,Crime
706,Thriller
262,Action
262,Drama
262,Fantasy
262,War
1653,Horror
1774,Action
1774,Comedy
1774,Crime
4134,Comedy
1053,Adventure
1053,Crime
1053,Drama
1053,Western
4835,Drama
1780,Action
1780,Drama
1780,Thriller
2603,Comedy
2603,Drama
2603,Family
2284,Action
2284,Comedy
2284,Family
1347,Comedy
1347,Family
1347,Sci-Fi
3911,Comedy
2499,Comedy
2499,Romance
1206,Biography
1206,Drama
1206,Sport
4787,Comedy
4787,Musical
4787,Romance
86,Action
86,Adventure
86,Drama
86,Fantasy
4641,Drama
3469,Comedy
3469,Drama
3469,Romance
3369,Comedy
3369,Drama
3369,Romance
531,Comedy
531,Romance
4819,Documentary
2873,Drama
2873,Music
2515,Action
2515,Adventure
2515,Drama
2515,History
2515,War
3014,Action
3014,Drama
3014,War
1690,Crime
1690,Drama
1690,Mystery
1690,Thriller
4228,Drama
4228,Thriller
4096,Comedy
4096,Crime
1178,Drama
1178,Music
1258,Mystery
1258,Thriller
4205,Documentary
3401,Comedy
3401,Crime
3401,Musical
3401,Romance
1668,Action
1668,Adventure
1668,Animation
1668,Drama
1668,Mystery
1668,Sci-Fi
1668,Thriller
3777,Drama
2447,Drama
2447,Romance
1983,Drama
1983,Music
1983,Mystery
1983,Romance
1983,Thriller
4355,Drama
4352,Drama
4352,Musical
1470,Action
1470,Mystery
1470,Thriller
509,Biography
509,Drama
4373,Comedy
4373,Horror
4373,Thriller
3572,Drama
3203,Drama
3203,Romance
1811,Comedy
1811,Drama
1811,Romance
2845,Comedy
2845,Romance
1614,Comedy
1614,Drama
2974,Drama
2974,Fantasy
2974,Romance
4950,Comedy
644,Action
644,Fantasy
644,Horror
1844,Drama
1844,History
1844,War
4984,Drama
4984,Horror
4984,Mystery
974,Action
974,Crime
974,Drama
974,Thriller
1096,Adventure
1096,Animation
1096,Comedy
1096,Family
1096,Fantasy
1863,Comedy
1863,Romance
2925,Comedy
1598,Adventure
1598,Comedy
4938,Animation
4938,Comedy
4938,Family
62,Animation
62,Drama
62,Family
62,Fantasy
4035,Comedy
4035,Family
2360,Comedy
2360,Family
2360,Romance
752,Drama
4843,Drama
4843,Fantasy
4843,Musical
4843,Romance
3485,Action
3485,Comedy
3485,Crime
3485,Thriller
2928,Action
2928,Adventure
2928,Drama
2928,Thriller
2928,War
4043,Drama
4043,Romance
3250,Drama
3250,War
2311,Biography
2311,Drama
2311,Thriller
2387,Comedy
2387,Drama
3732,Drama
3732,Thriller
2879,Comedy
2879,Drama
2879,Romance
3514,Drama
3514,Family
3948,Drama
3948,Romance
4700,Crime
4700,Drama
4700,Thriller
3259,Comedy
3259,Drama
3259,Romance
3756,Drama
3756,Romance
3756,War
1525,Drama
1525,Thriller
4898,Action
4898,Drama
4898,Western
4704,Fantasy
4704,Horror
4704,Mystery
4704,Thriller
198,Action
198,Adventure
198,Sci-Fi
3866,Drama
3866,Horror
3866,Mystery
3866,Thriller
831,Action
831,Comedy
831,Crime
831,Drama
4338,Comedy
4338,Musical
1336,Biography
1336,Drama
1336,Romance
1336,Sport
4378,Adventure
4378,Family
1905,Action
1905,Adventure
1905,Comedy
1905,Crime
1905,Family
1905,Romance
1905,Thriller
1854,Action
1854,Adventure
1854,Comedy
1854,Family
1854,Romance
1854,Sci-Fi
348,Action
348,Thriller
1499,Comedy
1499,Drama
1499,Romance
637,Adventure
637,Drama
637,History
637,Romance
4168,Drama
4168,Fantasy
4168,Romance
4168,War
2264,Comedy
2264,Romance
4720,Comedy
4720,Musical
4181,Comedy
4181,Fantasy
3918,Comedy
3918,Fantasy
1559,Crime
1559,Drama
1559,Thriller
3571,Drama
3571,Romance
374,Adventure
374,Drama
374,Sci-Fi
3547,Biography
3547,Drama
3547,Romance
3547,War
4512,Adventure
4512,Comedy
4512,Sport
4064,Comedy
4064,Drama
4064,Family
4064,Sport
400,Action
400,Adventure
400,Drama
400,Thriller
3871,Action
3871,Drama
3871,History
3871,Thriller
3871,War
3986,Comedy
4581,Crime
4581,Drama
3380,Drama
3424,Action
3424,Animation
3424,Sci-Fi
1180,Action
1180,Adventure
1180,Romance
1748,Adventure
1748,Animation
1748,Comedy
1748,Family
1748,Fantasy
1748,Musical
1748,Romance
3454,Drama
3789,Crime
3789,Drama
3789,Thriller
1196,Comedy
1196,Drama
1196,Sport
4592,Documentary
114,Action
114,Adventure
114,Biography
114,Drama
114,History
114,Romance
114,War
1776,Comedy
1776,Family
4273,Drama
4273,Musical
4273,Romance
1462,Action
