movie_id,keyword
407,dog
407,parole
407,parole officer
407,prison
407,puppy
3699,alien
3699,bunker
3699,car crash
3699,kidnapping
3699,minimal cast
2846,dating
2846,protective father
2846,school
2846,shrew
2846,teen movie
3421,desert storm
3421,fbi
3421,fbi agent
3421,fragmentation grenade
3421,woman kills attacker
3645,convenience store
3645,multiple perspectives
3645,murder
3645,paramedic
3645,van
2430,alone
2430,aron ralston
2430,based on autobiography
2430,canyon
2430,survival
4823,courtroom
4823,dialogue driven
4823,dialogue driven storyline
4823,jury
4823,murder
1737,epidemic
1737,mission
1737,paradox
1737,plague
1737,virus
2282,2000s
2282,detective
2282,sadist
2282,terrorism
2282,terrorist
2175,racism
2175,separation from family
2175,social injustice
2175,torture
2175,whipping
1627,13 year old
1627,13th birthday
1627,30 year old
1627,wish
1627,year 1987
971,based on true story
971,cia agent
971,libya
971,mercenary
971,u.s. ambassador
2079,book
2079,debunking
2079,evil
2079,hotel
2079,paranormal phenomena
1169,criminal
1169,detective
1169,fire
1169,homicide
1169,media
1116,alcoholic
1116,courthouse
1116,detective
1116,jail
1116,witness
4601,birthday
4601,digit in title
4601,love
4601,masturbation
4601,teenager
3959,continental congress
3959,debate
3959,declaration of independence
3959,massachusetts
3959,pennsylvania
1222,adult as child
1222,father son relationship
1222,high school student
1222,janitor
1222,school
1724,china
1724,disarming someone
1724,qing dynasty
1724,stabbed with a bayonet
1724,war violence
1557,california
1557,captain
1557,cult film
1557,pearl harbor
1557,submarine
4653,number in title
4653,semi autobiographical
3712,captain
3712,expedition
3712,sea
3712,submarine
3712,whale
3080,ancient astronaut
3080,famous line
3080,message from outer space
3080,monolith
3080,star child
3613,bartender
3613,friend
3613,new year's eve
3613,party
3613,punk
61,ark
61,catastrophe
61,geologist
61,president
61,writer
4182,critically bashed
4182,partisan commentary
4182,political propoganda
4182,punctuation in title
4182,reenactment
2996,number in title
2996,train
2996,woman slaps a man
2996,woman slaps man
2996,written by director
4976,fake documentary
4976,hidden camera
4976,mockumentary
4976,narrative
4976,reality show
4563,backup singer
4563,band
4563,bechdel test passed
4563,concert footage
4563,singer
1413,based on true story
1413,blackjack
1413,card counting
1413,gambling
1413,massachusetts institute of technology
4017,death
4017,forensic
4017,murder
4017,profiler
4017,serial killer
2261,accident
2261,faith
2261,love
2261,mathematician
2261,nonlinear timeline
1155,narcotics
1155,parody
1155,police
1155,remake
1155,undercover cop
2876,21st birthday
2876,college student
2876,drunken man
2876,pubic hair
2876,standing up to father
940,college
940,drugs
940,hidden camera
940,tattoo
940,undercover
4303,fight
4303,gang
4303,hiking
4303,wales
4303,working class
3847,bar
3847,dream
3847,drug dealing
3847,nightclub
3847,widower
1608,boss
1608,bridesmaid
1608,friend
1608,love
1608,wedding
1149,12 step program
1149,box office hit
1149,car accident
1149,vomiting
1149,wedding
3364,laboratory
3364,london england
3364,military
3364,virus
3364,zombie apocalypse
2657,paris france
2657,rage
2657,sniper
2657,u.s. army
2657,zombie apocalypse
516,bust
516,racing
516,shotgun
516,street racing
516,undercover agent
723,close up of breasts
723,female nudity
723,fugitive
723,money
723,undercover
4903,female nudity
4903,full frontal female nudity
4903,male frontal nudity
4903,menage a trois
4903,pubic hair
710,battle
710,epic
710,greece
710,spartan
710,warrior
706,casino
706,elvis impersonator
706,gun
706,heist
706,rascal
262,army
262,commander
262,female rear nudity
262,greek
262,navy
1653,alaska
1653,small town
1653,snow
1653,vampire
1653,winter
1774,bank heist
1774,bank robbery
1774,heist gone wrong
1774,pizza delivery boy
1774,unlikely criminal
4134,exorcism
4134,female nudity
4134,haunted house
4134,lesbian kiss
4134,masturbation
1053,outlaw
1053,rancher
1053,small western town
1053,stagecoach
1053,train
4835,number in title
1780,cancer
1780,estranged wife
1780,leather dress
1780,spy
1780,terrorist
2603,1980s
2603,baby
2603,heroin
2603,package
2603,questioned by police
2284,1990s
2284,dagger
2284,japan
2284,mousetrap
2284,stick fight
1347,alien
1347,digit in title
1347,human form
1347,number 3 in title
1347,talking on a rooftop
3911,adult diaper
3911,diaper
3911,digit in title
3911,dream
3911,sawed off shotgun
2499,female on male rape
2499,lent
2499,male rear nudity
2499,masturbation
2499,sex
1206,baseball
1206,baseball player
1206,brooklyn dodgers
1206,major league baseball
1206,racism
4787,chorus girl
4787,chorus line
4787,director
4787,gala premiere
4787,song
86,box office flop
86,ronin
86,samurai
86,shogun
