id,title,year,content_rating,duration,lang,country,gross,budget,director_id
531,50 First Dates,2004,PG-13,99,English,USA,120776832,75000000,1267
2928,Act of Valor,2012,R,110,English,USA,70011073,12000000,1738
2957,Aquamarine,2006,PG,104,English,USA,18595716,12000000,591
3175,Bones            ,,TV-14,40,English,USA,,,
4691,Destiny,2014,,,English,USA,,,2168
4043,Adam,2009,PG-13,99,English,USA,2277396,,1960
130,Angels & Demons,2009,PG-13,146,English,USA,133375846,150000000,481
834,Anger Management            ,,,22,English,USA,,,
4628,Bang Bang Baby,2014,,90,English,Canada,,1000000,948
4920,H.,2014,,93,English,USA,,,1214
1131,Bangkok Dangerous,2008,R,99,English,USA,15279680,40000000,407
4634,Banshee Chapter,2013,R,87,English,Germany,,950000,1184
2798,Jason X,2001,R,85,English,USA,12610731,11000000,1178
3158,Love Jones,1997,R,104,English,USA,12514138,10000000,1813
5014,Manito,2002,,79,English,USA,,24000,2288
3336,Barbarella,1968,PG,98,English,France,,9000000,1411
3508,Nikita            ,,,60,English,USA,,,
3314,Barbecue,2014,,98,French,France,,,1002
2923,Barbershop,2002,PG-13,102,English,USA,75074950,12000000,1515
3164,Big Eyes,2014,PG-13,106,English,USA,14479776,10000000,1874
2799,Big Fat Liar,2002,PG,88,English,USA,47811275,15000000,914
603,Big Fish,2003,PG-13,125,English,USA,66257002,70000000,1874
90,Big Hero 6,2014,PG,102,English,USA,222487711,165000000,741
1302,Big Miracle,2012,PG,107,English,USA,20113965,40000000,1719
3849,Bound,1996,R,109,English,USA,3798532,4500000,2109
1008,Twisted            ,,,60,English,USA,,,
857,Bowfinger,1999,PG-13,85,English,USA,66365290,55000000,1026
407,102 Dalmatians,2000,G,100,English,USA,66941559,85000000,2174
3699,10 Cloverfield Lane,2016,PG-13,104,English,USA,71897215,15000000,1327
3016,10 Days in a Madhouse,2015,R,111,English,USA,14616,12000000,1881
2846,10 Things I Hate About You,1999,PG-13,97,English,USA,38176108,16000000,1458
3421,10th & Wolf,2006,R,107,English,USA,53481,8000000,2252
3645,11:14,2003,R,85,English,USA,,6000000,665
2430,127 Hours,2010,R,94,English,USA,18329466,18000000,57
4823,12 Angry Men,1957,Not Rated,96,English,USA,,350000,1172
1737,12 Monkeys            ,,TV-14,42,English,USA,,,
2282,12 Rounds,2009,PG-13,108,English,USA,12232937,22000000,1479
2175,12 Years a Slave,2013,R,134,English,USA,56667870,20000000,1314
1627,13 Going on 30,2004,PG-13,98,English,USA,56044241,37000000,110
971,13 Hours,2016,R,144,English,USA,52822418,50000000,1668
2079,1408,2007,PG-13,114,English,USA,71975611,25000000,273
1169,15 Minutes,2001,R,120,English,USA,24375436,42000000,1067
1116,16 Blocks,2006,PG-13,102,English,Germany,36883539,52000000,1514
4601,16 to Life,2009,,89,English,USA,,1000000,640
3959,1776,1972,PG,168,English,USA,,4000000,793
1222,17 Again,2009,PG-13,102,English,USA,64149837,20000000,494
1724,1911,2011,R,121,Mandarin,China,127437,18000000,1093
1557,1941,1979,PG,142,English,USA,,35000000,2149
4653,1982,2013,R,90,English,USA,,1000000,1829
3712,"20,000 Leagues Under the Sea",1954,Approved,127,English,USA,,5000000,1539
3080,2001: A Space Odyssey,1968,G,161,English,UK,56715371,12000000,2292
3613,200 Cigarettes,1999,R,101,English,USA,6851636,6000000,1925
61,2012,2009,PG-13,158,English,USA,166112167,200000000,511
4182,2016: Obama's America,2012,PG,87,English,USA,33349949,2500000,2153
2996,2046,2004,R,129,Cantonese,Hong Kong,261481,12000000,4
4976,20 Dates,1998,R,87,English,USA,536767,60000,1928
4563,20 Feet from Stardom,2013,PG-13,91,English,USA,4946250,1000000,449
1413,21,2008,PG-13,123,English,USA,81159365,35000000,96
4017,2:13,2009,,96,English,USA,,3500000,2078
2261,21 Grams,2003,R,124,English,USA,16248701,20000000,1354
1155,21 Jump Street,2012,R,109,English,USA,138447667,42000000,1802
2876,21 & Over,2013,R,93,English,USA,25675765,13000000,2216
940,22 Jump Street,2014,R,112,English,USA,191616238,50000000,1802
4303,24 7: Twenty Four Seven,1997,R,96,English,UK,,,803
3847,25th Hour,2002,R,108,English,USA,13060843,15000000,479
1608,27 Dresses,2008,PG-13,111,English,USA,76806312,30000000,115
1149,28 Days,2000,PG-13,103,English,USA,37035515,43000000,324
3364,28 Days Later...,2002,R,113,English,UK,45063889,8000000,57
2657,28 Weeks Later,2007,R,100,English,UK,28637507,15000000,412
516,2 Fast 2 Furious,2003,PG-13,107,English,USA,127083765,76000000,2092
723,2 Guns,2013,R,109,English,USA,75573300,61000000,1207
4903,3,2010,Unrated,119,German,Germany,59774,,27
710,300,2006,R,117,English,USA,210592590,65000000,2180
706,3000 Miles to Graceland,2001,R,125,English,USA,15738632,42000000,2383
262,300: Rise of an Empire,2014,R,102,English,USA,106369117,110000000,684
1653,30 Days of Night,2007,R,113,English,USA,39568996,32000000,1368
1774,30 Minutes or Less,2011,R,83,English,Germany,37053924,28000000,855
4134,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013,R,80,English,USA,,3000000,763
1053,3:10 to Yuma,2007,R,122,English,USA,53574088,55000000,182
4835,3 Backyards,2010,R,88,English,USA,,300000,11
1780,3 Days to Kill,2014,PG-13,123,English,USA,30688364,28000000,789
2603,3 Men and a Baby,1987,PG,102,English,USA,167780960,11000000,638
2284,3 Ninjas Kick Back,1994,PG,93,English,USA,11784000,20000000,270
1347,3rd Rock from the Sun            ,,TV-PG,60,English,USA,,,
3911,3 Strikes,2000,R,82,English,USA,9821335,6000000,1936
2499,40 Days and 40 Nights,2002,R,96,English,USA,37939782,17000000,869
1206,42,2013,PG-13,128,English,USA,95001343,40000000,2329
4787,42nd Street,1933,Unrated,89,English,USA,2300000,439000,821
86,47 Ronin,2013,PG-13,128,English,USA,38297305,175000000,2261
4641,"4 Months, 3 Weeks and 2 Days",2007,Not Rated,113,Romanian,Romania,1185783,590000,2327
3469,500 Days of Summer,2009,PG-13,95,English,USA,32391374,7500000,728
3369,50/50,2011,R,100,English,USA,34963967,8000000,1879
